 25 ,-1 
 8.027 ,-98.9139 , 1 
 24.083 ,-96.6609 , 1 
 39.883 ,-73.9349 , 1 
 54.083 ,-87.4015 , 1 
 69.083 ,-59.4904 , 1 
 84.083 ,-8.7236 , 1 
 99.083 ,-101.5533 , 1 
 114.083 ,-79.5169 , 1 
 129.866 ,-40.4601 , 1 
 144.083 ,-35.7914 , 1 
 159.083 ,-21.6399 , 1 
 174.083 ,-31.8139 , 1 
 189.083 ,-31.8358 , 1 
 204.083 ,-32.5315 , 1 
 219.083 ,-16.9531 , 1 
 240 , 9.4855 , 1 
 255 ,-18.2956 , 1 
 270 ,-20.3399 , 1 
 285 ,-27.125 , 1 
 300 ,-14.2423 , 1 
 315 ,-67.849 , 1 
 330 ,-21.709 , 1 
 345 ,-8.1412 , 1 
 360 ,-10.8557 , 1 
 375 ,-39.3592 , 1 
