Solaranlage01,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal
,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression,Keine Kompression
,ENERGYB.ENERGYB;B'BSe03'HGen03'PuPrim'Trend02 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'PuPrim'Trend01 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'PuPrim'Trend04 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'PuPrim'Trend03 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'PuSec'Trend02 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'PuSec'Trend01 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'PuSec'Trend03 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'PuVers'Trend02 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'PuVers'Trend01 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend29 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend30 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend31 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend32 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend32 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend19 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend28 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend20 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend21 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend22 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend23 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend24 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend25 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend26 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend27 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend15 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend18 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend33 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend16 (Trend_MOM),ENERGYB.ENERGYB;B'BSe03'HGen03'Trend17 (Trend_MOM),ENERGYB.ENERGYB;B'BSe05'Trend'3 (Trendaufzeichnung_MOM),ENERGYB.ENERGYB;B'BSe05'Trend'34 (Trendaufzeichnung_MOM),ENERGYB.ENERGYB;B'BSe05'Trend'57 (Trendaufzeichnung_MOM),ENERGYB.ENERGYB;B'BSe05'Trend'67 (Trendaufzeichnung_MOM),ENERGYB.ENERGYB;B'BSe05'Trend'70 (Trendaufzeichnung_MOM),ENERGYB.ENERGYB;B'BSe05'Trend'80 (Trendaufzeichnung_MOM),ENERGYB.ENERGYB;B'BSe05'Trend'32 (Trendaufzeichnung_MOM)
,ENERGYB:B'BSe03'HGen03'PuPrim'Cmd.PrVal,ENERGYB:B'BSe03'HGen03'PuPrim'CnvOph'PrOph.PrVal,ENERGYB:B'BSe03'HGen03'PuPrim'DP.PrVal,ENERGYB:B'BSe03'HGen03'PuPrim'Mdlt.PrVal,ENERGYB:B'BSe03'HGen03'PuSec'Cmd.PrVal,ENERGYB:B'BSe03'HGen03'PuSec'CnvOph'PrOph.PrVal,ENERGYB:B'BSe03'HGen03'PuSec'Mdlt.PrVal,ENERGYB:B'BSe03'HGen03'PuVers'Cmd.PrVal,ENERGYB:B'BSe03'HGen03'PuVers'CnvOph'PrOph.PrVal,ENERGYB:B'BSe03'HGen03'T1Sto.PrVal,ENERGYB:B'BSe03'HGen03'T2Sto.PrVal,ENERGYB:B'BSe03'HGen03'T3Sto.PrVal,ENERGYB:B'BSe03'HGen03'T4Sto.PrVal,ENERGYB:B'BSe03'HGen03'T4Sto.PrVal,ENERGYB:B'BSe03'HGen03'TColl1.PrVal,ENERGYB:B'BSe03'HGen03'TColl10.PrVal,ENERGYB:B'BSe03'HGen03'TColl2.PrVal,ENERGYB:B'BSe03'HGen03'TColl3.PrVal,ENERGYB:B'BSe03'HGen03'TColl4.PrVal,ENERGYB:B'BSe03'HGen03'TColl5.PrVal,ENERGYB:B'BSe03'HGen03'TColl6.PrVal,ENERGYB:B'BSe03'HGen03'TColl7.PrVal,ENERGYB:B'BSe03'HGen03'TColl8.PrVal,ENERGYB:B'BSe03'HGen03'TColl9.PrVal,ENERGYB:B'BSe03'HGen03'TFlPrim.PrVal,ENERGYB:B'BSe03'HGen03'TFlSec.PrVal,ENERGYB:B'BSe03'HGen03'TFlVers.PrVal,ENERGYB:B'BSe03'HGen03'TRtPrim.PrVal,ENERGYB:B'BSe03'HGen03'TRtSec.PrVal,ENERGYB:B'BSe05'CI01'11.PrVal,ENERGYB:B'BSe05'CI02'10.PrVal,ENERGYB:B'BSe05'CI02'19.PrVal,ENERGYB:B'BSe05'CI02'29.PrVal,ENERGYB:B'BSe05'CI02'33.PrVal,ENERGYB:B'BSe05'CI02'43.PrVal,ENERGYB:B'BSe05'CI02'9.PrVal
,,h,bar,%,,h,%,,h,¯C,¯C,¯C,¯C,¯C,¯C,¯C,¯C,¯C,¯C,¯C,¯C,¯C,¯C,¯C,¯C,¯C,¯C,¯C,¯C,kWh,kWh,¯C,¯C,¯C,¯C,kWh
,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet,Aufgezeichnet
,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3,DESIGO INSIGHT V3
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,ENERGYB:Energybase'TZ DG'H03 Solaranlage'PrimÑrpumpe'Befehl.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'PrimÑrpumpe'Wandlung Betriebsstunden'Betriebsstunden.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'PrimÑrpumpe'DifferenzdruckfÅhler.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'PrimÑrpumpe'Stetige Ansteuerung.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'SekundÑrpumpe'Befehl.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'SekundÑrpumpe'Wandlung Betriebsstunden'Betriebsstunden.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'SekundÑrpumpe'Stetige Ansteuerung.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'Pumpe Versorgung'Befehl.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'Pumpe Versorgung'Wandlung Betriebsstunden'Betriebsstunden.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'Speichertemperatur 1 oben.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'Speichertemperatur 2 mitte oben.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'Speichertemperatur 3 mitte unten.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'Speichertemperatur 4 unten.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'Speichertemperatur 4 unten.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'Kollektortemperatur 1.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'Kollektortemperatur 10.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'Kollektortemperatur 2.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'Kollektortemperatur 3.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'Kollektortemperatur 4.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'Kollektortemperatur 5.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'Kollektortemperatur 6.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'Kollektortemperatur 7.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'Kollektortemperatur 8.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'Kollektortemperatur 9.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'PrimÑre Vorlauftemperatur.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'SekundÑre Vorlauftemp..Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'Vorlauftemperatur Versorgung.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'RÅcklauftemperatur primÑr.Aktueller Wert;Trend,ENERGYB:Energybase'TZ DG'H03 Solaranlage'RÅcklauftemp.sekundÑr.Aktueller Wert;Trend,ENERGYB:Energybase'ZÑhlungen'E-ZÑhler'Solaranlage.Aktueller Wert;Trendaufzeichnung,ENERGYB:Energybase'ZÑhlungen'WM-ZÑhler'Solar sek..Aktueller Wert;Trendaufzeichnung,ENERGYB:Energybase'ZÑhlungen'WM-ZÑhler'Solar sek. VL-Temp..Aktueller Wert;Trendaufzeichnung,ENERGYB:Energybase'ZÑhlungen'WM-ZÑhler'Solar prim. VL-Temp..Aktueller Wert;Trendaufzeichnung,ENERGYB:Energybase'ZÑhlungen'WM-ZÑhler'Solar sek. RL-Temp..Aktueller Wert;Trendaufzeichnung,ENERGYB:Energybase'ZÑhlungen'WM-ZÑhler'Solar prim. RL-Temp..Aktueller Wert;Trendaufzeichnung,ENERGYB:Energybase'ZÑhlungen'WM-ZÑhler'Solar prim..Aktueller Wert;Trendaufzeichnung
,Solar-01 primÑrPumpeBetrieb,Solar-02 primÑrPumpeBetriebsstunden,Solar-03 primÑrDifferenzdruck,Solar-04 primÑrpPumpeBetriebsstufe,Solar-05 sekundÑrPumpeBetrieb,Solar-06 sekundÑrPumpeBetriebsstunden,Solar-07 sekundÑrPumpeBetriebsstufe,Solar-08 VersorgungHeizzentralePumpeBetrieb,Solar-09 VersorgungHeizzentralePumpeBetriebsstunden,Solar-10 SpeicherTemp.oben,Solar-11 SpeicherTemp.mitteoben,Solar-12 SpeicherTemp.mitteunten,Solar-13 SpeicherTemp.unten,Solar-13 SpeicherTemp.unten (2),Solar-14 KollektorTemp.1,Solar-15 KollektorTemp.10,Solar-16 KollektorTemp.2,Solar-17 KollektorTemp.3,Solar-18 KollektorTemp.4,Solar-19 KollektorTemp.5,Solar-20 KollektorTemp.6,Solar-21 KollektorTemp.7,Solar-22 KollektorTemp.8,Solar-23 KollektorTemp.9,Solar-24 primÑrTemp.VL,Solar-25 sekundÑrTemp.VL,Solar-26 VersorgungTemp.VL,Solar-27 primÑrTemp.RL,Solar-28 sekundÑrTemp.RL,Solar-29 Stromverbrauchgesamt,Solar-30 sekundÑrWÑrmemenge,Solar-31 sekundÑrTemp.VL(WMZ),Solar-32 primÑrTemp.VL(WMZ),Solar-33 Solar-sekundÑrTemp.RL(WMZ),Solar-34 primÑrTemp.RL(WMZ),Solar-35 primÑr WÑrmemenge
39995.00000000000,0,1136,2.86,0,0,1055,0,1,987,84.47,83.51,59.57,49.97,49.97,25.92,22.6,24.8,25.12,24,25.52,23.8,22.9,26.26,18.01,49.97,53.5,30.02,34.71,37.8,810,55972,54,51,41,45,56306
