Latitude (N) = 48.2575; Longitude (E) = 16.4333; Altitude = 190; 
Date; Dry Bulb Temperature [°C]; Relative Humidity [%]; Global Horizontal Radiation [Wh/m2]; Diffuse Horizontal Radiation [Wh/m2]; Direct Horizontal Radiation [Wh/m2]
01.01.2009 00:00:00; -3.8; 79; 0; 0;0
01.01.2009 01:00:00; -3.7; 79; 0; 0;0
01.01.2009 02:00:00; -3.8; 79; 0; 0;0
01.01.2009 03:00:00; -3.8; 80; 0; 0;0
01.01.2009 04:00:00; -3.7; 80; 0; 0;0
01.01.2009 05:00:00; -3.5; 80; 0; 0;0
01.01.2009 06:00:00; -3.6; 78; 0; 0;0
01.01.2009 07:00:00; -3.5; 78; 0; 0;0
01.01.2009 08:00:00; -3.4; 78; 0; 0;0
01.01.2009 09:00:00; -3.1; 78; 0; 0;0
01.01.2009 10:00:00; -2.7; 78; 0; 0;0
01.01.2009 11:00:00; -1.4; 75; 0; 0;0
01.01.2009 12:00:00; -0.3; 73; 0; 0;0
01.01.2009 13:00:00; 0.2; 72; 0; 0;0
01.01.2009 14:00:00; 0; 71; 0; 0;0
01.01.2009 15:00:00; -0.7; 71; 0; 0;0
01.01.2009 16:00:00; -1.2; 72; 0; 0;0
01.01.2009 17:00:00; -1.1; 73; 0; 0;0
01.01.2009 18:00:00; -1.2; 73; 0; 0;0
01.01.2009 19:00:00; -1.6; 73; 0; 0;0
01.01.2009 20:00:00; -1.8; 71; 0; 0;0
01.01.2009 21:00:00; -1.8; 70; 0; 0;0
01.01.2009 22:00:00; -1.8; 69; 0; 0;0
01.01.2009 23:00:00; -1.9; 70; 0; 0;0
01.01.2009 24:00:00; -1.9; 69; 0; 0;0
02.01.2009 01:00:00; -1.9; 69; 0; 0;0
02.01.2009 02:00:00; -2; 69; 0; 0;0
02.01.2009 03:00:00; -2; 69; 0; 0;0
02.01.2009 04:00:00; -2.1; 69; 0; 0;0
02.01.2009 05:00:00; -2.2; 70; 0; 0;0
02.01.2009 06:00:00; -2.1; 70; 0; 0;0
02.01.2009 07:00:00; -2; 70; 0; 0;0
02.01.2009 08:00:00; -1.7; 70; 0; 0;0
02.01.2009 09:00:00; -1.2; 69; 0; 0;0
02.01.2009 10:00:00; -1; 68; 0; 0;0
02.01.2009 11:00:00; -0.7; 67; 0; 0;0
02.01.2009 12:00:00; -0.5; 67; 0; 0;0
02.01.2009 13:00:00; -0.8; 68; 0; 0;0
02.01.2009 14:00:00; -0.5; 67; 0; 0;0
02.01.2009 15:00:00; -0.6; 67; 0; 0;0
02.01.2009 16:00:00; -1.5; 70; 0; 0;0
02.01.2009 17:00:00; -0.8; 69; 0; 0;0
02.01.2009 18:00:00; -0.5; 68; 0; 0;0
02.01.2009 19:00:00; -0.7; 70; 0; 0;0
02.01.2009 20:00:00; -0.8; 70; 0; 0;0
02.01.2009 21:00:00; -0.8; 73; 0; 0;0
02.01.2009 22:00:00; -0.9; 75; 0; 0;0
02.01.2009 23:00:00; -1.3; 80; 0; 0;0
03.01.2009 00:00:00; -1.3; 83; 0; 0;0
03.01.2009 01:00:00; -1.4; 85; 0; 0;0
03.01.2009 02:00:00; -1.3; 84; 0; 0;0
03.01.2009 03:00:00; -1.5; 85; 0; 0;0
03.01.2009 04:00:00; -1.8; 82; 0; 0;0
03.01.2009 05:00:00; -3.1; 84; 0; 0;0
03.01.2009 06:00:00; -4.5; 87; 0; 0;0
03.01.2009 07:00:00; -5.7; 88; 0; 0;0
03.01.2009 08:00:00; -3.5; 86; 0; 0;0
03.01.2009 09:00:00; -2.6; 78; 0; 0;0
03.01.2009 10:00:00; -1.5; 73; 0; 0;0
03.01.2009 11:00:00; -0.8; 69; 0; 0;0
03.01.2009 12:00:00; -1.5; 68; 0; 0;0
03.01.2009 13:00:00; -1.2; 65; 0; 0;0
03.01.2009 14:00:00; -1.4; 67; 0; 0;0
03.01.2009 15:00:00; -2.1; 70; 0; 0;0
03.01.2009 16:00:00; -3; 73; 0; 0;0
03.01.2009 17:00:00; -3.6; 77; 0; 0;0
03.01.2009 18:00:00; -4.6; 79; 0; 0;0
03.01.2009 19:00:00; ; ; 0; 0;0
03.01.2009 20:00:00; -6; 86; 0; 0;0
03.01.2009 21:00:00; -6.3; 86; 0; 0;0
03.01.2009 22:00:00; -7.8; 89; 0; 0;0
03.01.2009 23:00:00; -8.4; 90; 0; 0;0
04.01.2009 00:00:00; -7.9; 88; 0; 0;0
04.01.2009 01:00:00; -8; 88; 0; 0;0
04.01.2009 02:00:00; -5.2; 86; 0; 0;0
04.01.2009 03:00:00; -4.3; 83; 0; 0;0
04.01.2009 04:00:00; -4; 81; 0; 0;0
04.01.2009 05:00:00; -3.6; 78; 0; 0;0
04.01.2009 06:00:00; -2.9; 75; 0; 0;0
04.01.2009 07:00:00; -2.1; 73; 0; 0;0
04.01.2009 08:00:00; -1.5; 71; 0; 0;0
04.01.2009 09:00:00; -0.9; 69; 0; 0;0
04.01.2009 10:00:00; -0.1; 67; 0; 0;0
04.01.2009 11:00:00; 0.3; 68; 0; 0;0
04.01.2009 12:00:00; 0.6; 66; 0; 0;0
04.01.2009 13:00:00; 0.9; 63; 0; 0;0
04.01.2009 14:00:00; 1; 61; 0; 0;0
04.01.2009 15:00:00; 1; 61; 0; 0;0
04.01.2009 16:00:00; 0.8; 63; 0; 0;0
04.01.2009 17:00:00; 0.9; 61; 0; 0;0
04.01.2009 18:00:00; 0.8; 63; 0; 0;0
04.01.2009 19:00:00; 0.7; 63; 0; 0;0
04.01.2009 20:00:00; 0.7; 63; 0; 0;0
04.01.2009 21:00:00; 0.8; 62; 0; 0;0
04.01.2009 22:00:00; 0.2; 69; 0; 0;0
04.01.2009 23:00:00; 0.4; 67; 0; 0;0
05.01.2009 00:00:00; 0.6; 64; 0; 0;0
05.01.2009 01:00:00; 0.3; 65; 0; 0;0
05.01.2009 02:00:00; 0.3; 64; 0; 0;0
05.01.2009 03:00:00; 0.6; 63; 0; 0;0
05.01.2009 04:00:00; 0.5; 64; 0; 0;0
05.01.2009 05:00:00; 0.6; 62; 0; 0;0
05.01.2009 06:00:00; 0.4; 65; 0; 0;0
05.01.2009 07:00:00; 0; 70; 0; 0;0
05.01.2009 08:00:00; 0.2; 70; 0; 0;0
05.01.2009 09:00:00; 0.5; 70; 0; 0;0
05.01.2009 10:00:00; 0.4; 73; 0; 0;0
05.01.2009 11:00:00; 0.7; 70; 0; 0;0
05.01.2009 12:00:00; 1; 68; 0; 0;0
05.01.2009 13:00:00; 0.3; 75; 0; 0;0
05.01.2009 14:00:00; 0.5; 72; 0; 0;0
05.01.2009 15:00:00; 0.3; 73; 0; 0;0
05.01.2009 16:00:00; 0.1; 74; 0; 0;0
05.01.2009 17:00:00; -0.2; 78; 0; 0;0
05.01.2009 18:00:00; -0.5; 84; 0; 0;0
05.01.2009 19:00:00; ; ; 0; 0;0
05.01.2009 20:00:00; -1.1; 88; 0; 0;0
05.01.2009 21:00:00; -0.8; 90; 0; 0;0
05.01.2009 22:00:00; -0.8; 90; 0; 0;0
05.01.2009 23:00:00; -0.8; 90; 0; 0;0
06.01.2009 00:00:00; -1; 92; 0; 0;0
06.01.2009 01:00:00; -2.1; 90; 0; 0;0
06.01.2009 02:00:00; -2.6; 89; 0; 0;0
06.01.2009 03:00:00; -3.1; 89; 0; 0;0
06.01.2009 04:00:00; -3.5; 88; 0; 0;0
06.01.2009 05:00:00; -3.5; 87; 0; 0;0
