Latitude (N) = 48.2575; Longitude (E) = 16.4333; Altitude = 190; 
mperature [C]; Relative Humidity [%]; Global Horizontal Radiation [W/m2];  Diffuse Horizontal Radiation [W/m2]; Direct Horizontal Radiation [W/m2]
01.04.2009 00:00:00; 8.4; 87; 0; 0; 0
01.04.2009 01:00:00; 8.8; 86; 0; 0; 0
01.04.2009 02:00:00; 8.7; 86; 0; 0; 0
01.04.2009 03:00:00; 8.6; 88; 0; 0; 0
01.04.2009 04:00:00; 8.6; 89; 0; 0; 0
01.04.2009 05:00:00; 8.6; 89; 0; 0; 0
01.04.2009 06:00:00; 8.8; 89; 23; 21.2891; 1.71085
01.04.2009 07:00:00; 9.2; 87; 72; 67.8603; 4.13974
01.04.2009 08:00:00; 9.7; 85; 84; 80.6866; 3.31342
01.04.2009 09:00:00; 11.1; 80; 152; 143.981; 8.01881
01.04.2009 10:00:00; 12.4; 74; 286; 262.333; 23.6669
01.04.2009 11:00:00; 13.5; 67; 457; 307.021; 149.979
01.04.2009 12:00:00; 14; 66; 339; 309.785; 29.2155
01.04.2009 13:00:00; 14.1; 66; 243; 227.475; 15.5247
01.04.2009 14:00:00; 14.7; 66; 274; 252.137; 21.8632
01.04.2009 15:00:00; 14.7; 68; 206; 191.109; 14.891
01.04.2009 16:00:00; 14.5; 68; 102; 97.0244; 4.97559
01.04.2009 17:00:00; 14.2; 70; 50; 47.9327; 2.06732
01.04.2009 18:00:00; 13.8; 72; 5; 4.90556; 0.0944367
01.04.2009 19:00:00; 13.4; 72; 0; 0; 0
01.04.2009 20:00:00; 13.4; 73; 0; 0; 0
01.04.2009 21:00:00; 12.7; 74; 0; 0; 0
01.04.2009 22:00:00; 11.9; 75; 0; 0; 0
01.04.2009 23:00:00; 11.5; 78; 0; 0; 0
01.04.2009 24:00:00; 11.1; 78; 0; 0; 0
02.04.2009 01:00:00; 10.5; 78; 0; 0; 0
02.04.2009 02:00:00; 9.1; 83; 0; 0; 0
02.04.2009 03:00:00; 7.8; 87; 0; 0; 0
02.04.2009 04:00:00; 8.1; 83; 0; 0; 0
02.04.2009 05:00:00; 8.9; 78; 0; 0; 0
02.04.2009 06:00:00; 9.6; 73; 33; 27.875; 5.12504
02.04.2009 07:00:00; 10.7; 66; 131; 105.219; 25.7809
02.04.2009 08:00:00; 13.6; 59; 421; 74.517; 346.483
02.04.2009 09:00:00; 14.6; 59; 552; 97.704; 454.296
02.04.2009 10:00:00; 16.8; 51; 656; 116.112; 539.888
02.04.2009 11:00:00; 17.3; 44; 720; 127.44; 592.56
02.04.2009 12:00:00; 17.8; 44; 728; 143.953; 584.047
02.04.2009 13:00:00; 18.5; 41; 683; 162.584; 520.416
02.04.2009 14:00:00; 18.8; 43; 585; 179.125; 405.875
02.04.2009 15:00:00; 19.3; 43; 451; 178.784; 272.216
02.04.2009 16:00:00; 18.8; 43; 290; 157.392; 132.608
02.04.2009 17:00:00; 17.8; 45; 123; 100.735; 22.2647
02.04.2009 18:00:00; 15.8; 50; 12; 11.4998; 0.500246
02.04.2009 19:00:00; 12.3; 70; 0; 0; 0
02.04.2009 20:00:00; 10.5; 78; 0; 0; 0
02.04.2009 21:00:00; 9.5; 84; 0; 0; 0
02.04.2009 22:00:00; 8.6; 88; 0; 0; 0
02.04.2009 23:00:00; 7.7; 89; 0; 0; 0
03.04.2009 00:00:00; 7.2; 92; 0; 0; 0
03.04.2009 01:00:00; 6.4; 93; 0; 0; 0
03.04.2009 02:00:00; 5.5; 94; 0; 0; 0
03.04.2009 03:00:00; 4.9; 96; 0; 0; 0
03.04.2009 04:00:00; 4.7; 95; 0; 0; 0
03.04.2009 05:00:00; 4.5; 95; 0; 0; 0
03.04.2009 06:00:00; 7.4; 84; 0; 0; 0
03.04.2009 07:00:00; 11.3; 55; 252; 44.604; 207.396
03.04.2009 08:00:00; 13; 52; 412; 72.924; 339.076
03.04.2009 09:00:00; 15.2; 51; 559; 98.943; 460.057
03.04.2009 10:00:00; 16.3; 51; 667; 118.059; 548.941
03.04.2009 11:00:00; 17.7; 52; 727; 128.679; 598.321
03.04.2009 12:00:00; 19.4; 54; 732; 145.272; 586.728
03.04.2009 13:00:00; 20.3; 50; 688; 162.526; 525.474
03.04.2009 14:00:00; 20.8; 48; 593; 176.173; 416.827
03.04.2009 15:00:00; 20.2; 49; 452; 181.936; 270.064
03.04.2009 16:00:00; 19.8; 50; 294; 158.514; 135.486
03.04.2009 17:00:00; 19.1; 52; 117; 101.483; 15.5165
03.04.2009 18:00:00; 17.1; 60; 12; 11.5368; 0.463181
03.04.2009 19:00:00; 16; 69; 0; 0; 0
03.04.2009 20:00:00; 14.8; 74; 0; 0; 0
03.04.2009 21:00:00; 12.7; 81; 0; 0; 0
03.04.2009 22:00:00; 11.5; 88; 0; 0; 0
03.04.2009 23:00:00; 10.7; 90; 0; 0; 0
04.04.2009 00:00:00; 9.5; 93; 0; 0; 0
04.04.2009 01:00:00; 9.1; 93; 0; 0; 0
04.04.2009 02:00:00; 8.2; 95; 0; 0; 0
04.04.2009 03:00:00; 7.5; 95; 0; 0; 0
04.04.2009 04:00:00; 6.8; 96; 0; 0; 0
04.04.2009 05:00:00; 6.9; 96; 0; 0; 0
04.04.2009 06:00:00; 9.6; 92; 98; 17.346; 80.654
04.04.2009 07:00:00; 12.6; 79; 264; 46.728; 217.272
04.04.2009 08:00:00; 15; 69; 424; 75.048; 348.952
04.04.2009 09:00:00; 16.8; 63; 567; 100.359; 466.641
04.04.2009 10:00:00; 17.9; 59; 667; 118.059; 548.941
04.04.2009 11:00:00; 19.8; 55; 726; 129.367; 596.633
04.04.2009 12:00:00; 21.4; 45; 738; 144.186; 593.814
04.04.2009 13:00:00; 21.6; 42; 695; 160.209; 534.791
04.04.2009 14:00:00; 22.5; 43; 582; 190.962; 391.038
04.04.2009 15:00:00; 22.5; 42; 432; 199.443; 232.557
04.04.2009 16:00:00; 22.3; 40; 274; 169.287; 104.713
04.04.2009 17:00:00; 20.9; 41; 119; 103.254; 15.7457
04.04.2009 18:00:00; 17.2; 54; 13; 12.4938; 0.506243
04.04.2009 19:00:00; 14.9; 63; 0; 0; 0
04.04.2009 20:00:00; 13.3; 72; 0; 0; 0
04.04.2009 21:00:00; 12.4; 78; 0; 0; 0
04.04.2009 22:00:00; 11.2; 82; 0; 0; 0
04.04.2009 23:00:00; 11.1; 83; 0; 0; 0
05.04.2009 00:00:00; 9.6; 87; 0; 0; 0
05.04.2009 01:00:00; 9.2; 89; 0; 0; 0
05.04.2009 02:00:00; 9.2; 88; 0; 0; 0
05.04.2009 03:00:00; 8.8; 91; 0; 0; 0
05.04.2009 04:00:00; 8.5; 92; 0; 0; 0
05.04.2009 05:00:00; 8.7; 92; 0; 0; 0
05.04.2009 06:00:00; 11.3; 84; 103; 18.231; 84.769
05.04.2009 07:00:00; 14.8; 63; 234; 70.8387; 163.161
05.04.2009 08:00:00; 17.2; 56; 403; 94.0419; 308.958
05.04.2009 09:00:00; 18.5; 52; 539; 122.4; 416.6
05.04.2009 10:00:00; 19.9; 48; 623; 165.054; 457.946
05.04.2009 11:00:00; 21; 45; 675; 191.101; 483.899
05.04.2009 12:00:00; 22; 42; 643; 242.726; 400.274
05.04.2009 13:00:00; 22.7; 37; 602; 249.555; 352.445
05.04.2009 14:00:00; 22.7; 38; 480; 263.828; 216.172
05.04.2009 15:00:00; 23.2; 36; 437; 199.691; 237.309
05.04.2009 16:00:00; 22.6; 36; 325; 147.519; 177.481
05.04.2009 17:00:00; 21.3; 37; 128; 105.988; 22.0118
05.04.2009 18:00:00; 18.4; 45; 21; 19.7636; 1.23644
05.04.2009 19:00:00; 15.8; 55; 0; 0; 0
05.04.2009 20:00:00; 16.5; 57; 0; 0; 0
05.04.2009 21:00:00; 15.9; 62; 0; 0; 0
05.04.2009 22:00:00; 14.9; 71; 0; 0; 0
05.04.2009 23:00:00; 14.7; 79; 0; 0; 0
06.04.2009 00:00:00; 14.1; 82; 0; 0; 0
06.04.2009 01:00:00; 13.2; 84; 0; 0; 0
06.04.2009 02:00:00; 12.5; 85; 0; 0; 0
06.04.2009 03:00:00; 11.3; 88; 0; 0; 0
06.04.2009 04:00:00; 11.4; 88; 0; 0; 0
06.04.2009 05:00:00; 11.2; 89; 0; 0; 0
06.04.2009 06:00:00; 11.9; 87; 90; 15.93; 74.07
06.04.2009 07:00:00; 13.4; 81; 219; 89.55; 129.45
06.04.2009 08:00:00; 14.7; 75; 379; 124.393; 254.607
06.04.2009 09:00:00; 16.2; 70; 529; 139.493; 389.507
06.04.2009 10:00:00; 18.2; 65; 631; 162.664; 468.336
06.04.2009 11:00:00; 19.6; 58; 685; 186.463; 498.537
06.04.2009 12:00:00; 21.1; 49; 698; 198.115; 499.885
06.04.2009 13:00:00; 22.2; 44; 655; 210.179; 444.821
06.04.2009 14:00:00; 22.7; 41; 560; 217.703; 342.297
06.04.2009 15:00:00; 23.2; 38; 438; 202.453; 235.547
06.04.2009 16:00:00; 22.8; 35; 287; 169.965; 117.035
06.04.2009 17:00:00; 21.2; 38; 118; 105.732; 12.2677
06.04.2009 18:00:00; 18.9; 42; 14; 13.4834; 0.516602
06.04.2009 19:00:00; 16.2; 53; 0; 0; 0
06.04.2009 20:00:00; 13.8; 64; 0; 0; 0
06.04.2009 21:00:00; 13; 71; 0; 0; 0
06.04.2009 22:00:00; 12; 78; 0; 0; 0
06.04.2009 23:00:00; 10.7; 84; 0; 0; 0
07.04.2009 00:00:00; 9.7; 87; 0; 0; 0
07.04.2009 01:00:00; 9.2; 90; 0; 0; 0
07.04.2009 02:00:00; 9.1; 91; 0; 0; 0
07.04.2009 03:00:00; 8; 93; 0; 0; 0
07.04.2009 04:00:00; 7.8; 93; 0; 0; 0
07.04.2009 05:00:00; 7.8; 93; 0; 0; 0
07.04.2009 06:00:00; 10.1; 83; 100; 17.7; 82.3
07.04.2009 07:00:00; 13.1; 72; 255; 63.4024; 191.598
07.04.2009 08:00:00; 16.3; 56; 414; 95.8914; 318.109
07.04.2009 09:00:00; 18.2; 52; 557; 115.536; 441.464
07.04.2009 10:00:00; 19.1; 53; 660; 137.073; 522.927
